layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.59941,5.36369,5.23572,1.4658,6.7187,0.0000,0.6847,0.03341,0.4714
1,12,8.11092,4.36697,3.74395,1.2278,6.5685,0.0000,0.7127,0.02286,0.3727
2,12,9.23655,4.42167,4.81488,1.0335,6.5748,0.0000,0.7063,0.02791,0.4930
3,12,10.51402,4.42862,6.08539,0.7972,6.4973,0.0000,0.7147,0.02746,0.4330
4,12,12.11093,4.87445,7.23648,0.7249,6.3789,0.0000,0.7339,0.02695,0.2764
5,12,11.62925,4.58356,7.04569,0.7255,6.0285,0.0000,0.7917,0.01154,0.2764
6,12,11.20046,4.56658,6.63387,0.7641,6.0598,0.0000,0.7866,0.01377,0.3727
7,12,12.59189,4.80646,7.78543,0.6441,5.8132,0.0000,0.8201,0.00791,0.0000
8,12,11.13410,4.52387,6.61023,0.7131,6.0430,0.0000,0.7895,0.01244,0.0000
9,12,12.74323,5.02343,7.71981,0.6859,5.7686,0.0000,0.8255,0.00885,0.0000
10,12,12.46592,4.95689,7.50903,0.6765,5.8392,0.0000,0.8174,0.00884,0.0000
11,12,10.81059,4.79370,6.01689,0.9979,6.0542,0.0000,0.7808,0.01328,0.4714
