sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
genre,2,60273.1766,7864.8604,52408.3162,7.1242,0.8375,0.1501
stone,2,55093.9080,7346.4789,47747.4291,7.0739,0.8409,0.1539
