sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
genre,2,144.3321,8.0534,128.9620,9.5370,0.4328,0.0623
stone,2,137.8136,8.3156,120.8472,9.5411,0.4306,0.0690
