sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
illumination,2,52035.1303,6887.8662,45147.2641,7.1540,0.8367,0.1526
weight,2,60727.3869,8125.0380,52602.3489,6.9930,0.8492,0.1545
