i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.4038,0.3871,5.0765,106.5050
0,2,game,firestick,N,0.4378,0.4259,5.9767,101.3484
0,3,game,correspond,N,0.3614,0.3597,7.8941,112.7587
0,4,game,game,Y,0.6309,0.6214,5.3594,105.9214
1,2,correspond,firestick,N,0.5616,0.5408,0.9002,5.1565
1,3,correspond,correspond,Y,0.7641,0.7473,2.8176,6.2538
1,4,correspond,game,N,0.4945,0.4747,0.2829,0.5836
2,3,firestick,correspond,N,0.5414,0.5203,1.9173,11.4103
2,4,firestick,game,N,0.5603,0.5383,0.6173,4.5730
3,4,correspond,game,N,0.4600,0.4409,2.5347,6.8374
