layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.37648,9.60192,1.77456,4.9754,6.4000,1.6450,0.7341,0.00000,1.8856
1,12,9.49463,7.84069,1.65394,4.7098,6.1431,1.6652,0.7721,0.00000,0.0000
2,12,9.48733,7.87004,1.61729,4.8808,6.2197,1.6867,0.7580,0.00000,1.1055
3,12,10.78495,8.97627,1.80868,5.1040,6.0562,1.6472,0.7765,0.00000,0.0000
4,12,12.49452,10.51006,1.98447,5.2665,5.9011,1.6273,0.8002,0.00000,0.0000
5,12,11.62908,9.41869,2.21039,4.2687,5.5618,1.7044,0.8329,0.00000,0.3727
6,12,11.08030,8.97827,2.10202,4.2922,5.6445,1.6962,0.8251,0.00000,0.2764
7,12,13.03212,10.61302,2.41911,4.4209,5.1207,1.6648,0.8707,0.00000,0.0000
8,12,11.45009,9.25876,2.19133,4.2483,5.6138,1.6937,0.8322,0.00000,0.0000
9,12,13.57848,11.02621,2.55227,4.3787,4.9854,1.6551,0.8770,0.00000,0.0000
10,12,13.88887,11.34117,2.54770,4.5361,4.9666,1.6461,0.8834,0.00000,0.0000
11,12,11.92633,9.67169,2.25464,4.3015,5.4300,1.6798,0.8339,0.00000,1.1055
