sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
animal,2,135.6307,17.4679,118.1628,9.5352,0.4344,0.1477
device,2,134.4741,19.9118,114.5623,9.5224,0.4392,0.1742
