sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
illumination,2,248.4428,7.7460,240.6968,9.5544,0.4277,0.0318
weight,2,274.0622,10.1688,263.8934,9.5543,0.4289,0.0381
