sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
illumination,2,52035.1303,4317.3961,44307.7259,7.1535,0.8350,0.0975
weight,2,60727.3869,5058.4240,51632.5921,6.9946,0.8468,0.0980
