i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.2495,0.2364,3.6468,30.6960
0,2,game,firestick,N,0.2631,0.2626,4.7033,34.6395
0,3,game,correspond,N,0.2458,0.2317,2.4159,36.7100
0,4,game,game,Y,0.5516,0.5499,0.7223,69.0473
1,2,correspond,firestick,N,0.3485,0.3260,1.0566,3.9435
1,3,correspond,correspond,Y,0.6623,0.6554,6.0626,67.4060
1,4,correspond,game,N,0.3106,0.3068,4.3691,99.7433
2,3,firestick,correspond,N,0.3460,0.3286,7.1192,71.3495
2,4,firestick,game,N,0.3105,0.3003,5.4256,103.6868
3,4,correspond,game,N,0.3445,0.3258,1.6936,32.3373
