layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.54866,5.33749,5.21116,1.4644,6.7785,0.0000,0.6708,0.03941,0.4714
1,12,8.60415,4.39941,4.20474,1.1602,6.5722,0.0000,0.7088,0.02759,0.4714
2,12,8.70533,4.50389,4.20143,1.2069,6.6566,0.0000,0.6914,0.02862,0.4930
3,12,10.31094,4.66227,5.64867,0.9221,6.5079,0.0000,0.7115,0.02845,0.5000
4,12,11.83780,4.87485,6.96295,0.7681,6.3760,0.0000,0.7371,0.02436,0.3727
5,12,11.65740,4.66524,6.99216,0.7442,6.0638,0.0000,0.7865,0.01201,0.2764
6,12,10.83417,4.59934,6.23483,0.8135,6.0600,0.0000,0.7889,0.01226,0.3727
7,12,12.27216,4.77125,7.50091,0.6779,5.8901,0.0000,0.8090,0.01020,0.2764
8,12,11.35537,4.65211,6.70326,0.7462,6.0748,0.0000,0.7873,0.01277,0.4330
9,12,12.71334,5.17530,7.53805,0.7217,5.8894,0.0000,0.8124,0.00918,0.2764
10,12,12.61149,5.08558,7.52591,0.7258,5.9484,0.0000,0.8046,0.00996,0.2764
11,12,11.33782,5.17040,6.16742,1.1006,6.0795,0.0000,0.7823,0.01385,0.4714
