anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
rock,sym4,genre,2,0.10,0.9998,34.544,0.2714,1.000
rock,sym4,genre,2,0.20,0.9985,25.295,0.7864,1.000
rock,sym4,genre,2,0.30,0.9945,19.600,1.5150,1.000
rock,sym4,genre,2,0.40,0.9862,15.610,2.3986,1.000
rock,sym4,genre,2,0.50,0.9708,12.400,3.4728,1.000
rock,sym4,stone,2,0.10,0.9998,33.149,0.3170,1.000
rock,sym4,stone,2,0.20,0.9981,24.263,0.8801,1.000
rock,sym4,stone,2,0.30,0.9933,18.754,1.6618,1.000
rock,sym4,stone,2,0.40,0.9831,14.783,2.6235,1.000
rock,sym4,stone,2,0.50,0.9666,11.845,3.6752,1.000
