layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,6.56049,3.53551,3.02499,1.6960,7.1314,0.0000,0.5808,0.06201,0.4714
1,12,7.57600,4.09317,3.48283,1.9450,7.0077,0.0000,0.6119,0.05700,0.3727
2,12,7.70328,4.77346,2.92982,1.7797,6.7649,0.0000,0.6645,0.03707,0.2764
3,12,8.69075,5.48774,3.20301,1.8454,6.6338,0.0000,0.6900,0.03543,0.0000
4,12,7.51318,5.01246,2.50072,2.0777,6.5836,0.0000,0.6942,0.03331,0.0000
5,12,9.32535,5.76120,3.56415,1.8611,6.6542,0.0000,0.6983,0.03199,0.0000
