sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
bird,2,291.5830,13.6555,262.8813,9.6009,0.4067,0.0520
machine,2,237.9000,12.8955,212.1495,9.5432,0.4319,0.0609
