i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.3939,0.3817,6.6872,8.9683
0,2,factory,factory,Y,0.3242,0.3197,5.3667,10.3750
0,3,factory,factory,Y,0.6428,0.6335,3.2422,1.7339
0,4,factory,organism,N,0.4006,0.3998,2.6921,8.0405
1,2,organism,factory,N,0.4787,0.4773,1.3205,19.3433
1,3,organism,factory,N,0.5154,0.5223,3.4450,7.2345
1,4,organism,organism,Y,0.7634,0.7692,3.9951,0.9278
2,3,factory,factory,Y,0.5446,0.5347,2.1245,12.1089
2,4,factory,organism,N,0.4342,0.4369,2.6746,18.4155
3,4,factory,organism,N,0.4983,0.5048,0.5501,6.3067
