i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.3939,0.3817,12.6951,19.6998
0,2,factory,factory,Y,0.3242,0.3197,11.2408,1.7107
0,3,factory,factory,Y,0.6428,0.6335,7.2332,5.6290
0,4,factory,organism,N,0.4006,0.3998,11.2486,22.2336
1,2,organism,factory,N,0.4787,0.4773,1.4544,17.9891
1,3,organism,factory,N,0.5154,0.5223,5.4619,14.0709
1,4,organism,organism,Y,0.7634,0.7692,1.4466,2.5338
2,3,factory,factory,Y,0.5446,0.5347,4.0076,3.9182
2,4,factory,organism,N,0.4342,0.4369,0.0078,20.5229
3,4,factory,organism,N,0.4983,0.5048,4.0154,16.6047
