sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
factory,3,265.2804,19.4041,227.1437,9.5718,0.4217,0.0855
organism,2,274.8452,13.5903,245.6639,9.5648,0.4257,0.0553
