token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,sym4,0.10,0.9998,34.239,0.0202,0.000,0.0002
2,sym4,0.20,0.9984,25.031,0.0582,0.000,0.0016
2,sym4,0.30,0.9948,19.826,0.1060,0.000,0.0052
2,sym4,0.40,0.9868,15.811,0.1683,0.000,0.0132
2,sym4,0.50,0.9751,13.082,0.2304,0.000,0.0249
##s,sym4,0.10,0.9999,35.487,0.0187,0.000,0.0001
##s,sym4,0.20,0.9989,26.566,0.0523,0.000,0.0011
##s,sym4,0.30,0.9950,20.048,0.1108,0.000,0.0050
##s,sym4,0.40,0.9872,15.960,0.1774,0.000,0.0128
##s,sym4,0.50,0.9764,13.320,0.2404,0.000,0.0236
happy,sym4,0.10,0.9998,33.247,0.0261,0.000,0.0002
happy,sym4,0.20,0.9984,24.935,0.0680,0.000,0.0016
happy,sym4,0.30,0.9951,20.116,0.1184,0.000,0.0049
happy,sym4,0.40,0.9888,16.507,0.1794,0.000,0.0112
happy,sym4,0.50,0.9759,13.215,0.2621,0.000,0.0241
million,sym4,0.10,0.9998,33.231,0.0274,0.000,0.0002
million,sym4,0.20,0.9978,23.622,0.0828,0.000,0.0022
million,sym4,0.30,0.9931,18.612,0.1473,0.000,0.0069
million,sym4,0.40,0.9841,15.013,0.2230,0.000,0.0159
million,sym4,0.50,0.9700,12.280,0.3055,0.000,0.0300
[SEP],sym4,0.10,0.9999,37.180,0.0167,0.000,0.0001
[SEP],sym4,0.20,0.9993,28.416,0.0458,0.000,0.0007
[SEP],sym4,0.30,0.9978,23.558,0.0801,0.000,0.0022
[SEP],sym4,0.40,0.9946,19.638,0.1258,0.000,0.0054
[SEP],sym4,0.50,0.9885,16.407,0.1825,0.000,0.0115
[PAD],sym4,0.10,0.9999,38.136,0.0177,0.000,0.0001
[PAD],sym4,0.20,0.9994,29.002,0.0507,0.000,0.0006
[PAD],sym4,0.30,0.9979,23.719,0.0932,0.000,0.0021
[PAD],sym4,0.40,0.9950,19.992,0.1432,0.000,0.0050
[PAD],sym4,0.50,0.9890,16.598,0.2116,0.000,0.0110
is,sym4,0.10,0.9999,35.626,0.0159,0.000,0.0001
is,sym4,0.20,0.9990,26.835,0.0438,0.000,0.0010
is,sym4,0.30,0.9958,20.811,0.0877,0.000,0.0042
is,sym4,0.40,0.9887,16.501,0.1440,0.000,0.0113
is,sym4,0.50,0.9765,13.333,0.2074,0.000,0.0235
queen,sym4,0.10,0.9998,33.588,0.0258,0.000,0.0002
queen,sym4,0.20,0.9981,24.243,0.0755,0.000,0.0019
queen,sym4,0.30,0.9937,19.043,0.1374,0.000,0.0063
queen,sym4,0.40,0.9855,15.406,0.2089,0.000,0.0145
queen,sym4,0.50,0.9689,12.124,0.3048,0.000,0.0311
?,sym4,0.10,0.9998,33.478,0.0205,0.000,0.0002
?,sym4,0.20,0.9985,25.352,0.0523,0.000,0.0015
?,sym4,0.30,0.9950,20.046,0.0964,0.000,0.0050
?,sym4,0.40,0.9871,15.909,0.1552,0.000,0.0129
?,sym4,0.50,0.9738,12.857,0.2205,0.000,0.0262
1,sym4,0.10,0.9998,34.092,0.0204,0.000,0.0002
1,sym4,0.20,0.9984,24.899,0.0588,0.000,0.0016
1,sym4,0.30,0.9948,19.831,0.1055,0.000,0.0052
1,sym4,0.40,0.9881,16.261,0.1591,0.000,0.0119
1,sym4,0.50,0.9746,12.998,0.2316,0.000,0.0254
sad,sym4,0.10,0.9998,34.746,0.0271,0.000,0.0002
sad,sym4,0.20,0.9987,25.713,0.0768,0.000,0.0013
sad,sym4,0.30,0.9954,20.403,0.1415,0.000,0.0046
sad,sym4,0.40,0.9897,16.873,0.2124,0.000,0.0103
sad,sym4,0.50,0.9800,14.017,0.2951,0.000,0.0200
",",sym4,0.10,0.9999,37.102,0.0131,0.000,0.0001
",",sym4,0.20,0.9992,27.750,0.0386,0.000,0.0008
",",sym4,0.30,0.9971,22.328,0.0720,0.000,0.0029
",",sym4,0.40,0.9927,18.393,0.1133,0.000,0.0073
",",sym4,0.50,0.9853,15.335,0.1611,0.000,0.0147
100,sym4,0.10,0.9999,35.502,0.0214,0.053,0.0001
100,sym4,0.20,0.9989,26.650,0.0593,0.053,0.0011
100,sym4,0.30,0.9966,21.650,0.1055,0.053,0.0034
100,sym4,0.40,0.9913,17.636,0.1674,0.053,0.0087
100,sym4,0.50,0.9817,14.402,0.2429,0.053,0.0183
thousand,sym4,0.10,0.9998,33.882,0.0276,0.000,0.0002
thousand,sym4,0.20,0.9982,24.414,0.0822,0.000,0.0018
thousand,sym4,0.30,0.9941,19.301,0.1480,0.000,0.0059
thousand,sym4,0.40,0.9859,15.514,0.2289,0.000,0.0141
thousand,sym4,0.50,0.9704,12.339,0.3299,0.000,0.0296
man,sym4,0.10,0.9997,32.763,0.0250,0.000,0.0003
man,sym4,0.20,0.9983,24.596,0.0639,0.000,0.0017
man,sym4,0.30,0.9940,19.228,0.1186,0.000,0.0060
man,sym4,0.40,0.9864,15.682,0.1784,0.000,0.0136
man,sym4,0.50,0.9740,12.897,0.2458,0.000,0.0260
city,sym4,0.10,0.9997,32.612,0.0245,0.000,0.0003
city,sym4,0.20,0.9981,24.273,0.0640,0.000,0.0019
city,sym4,0.30,0.9943,19.412,0.1121,0.000,0.0057
city,sym4,0.40,0.9861,15.592,0.1740,0.000,0.0139
city,sym4,0.50,0.9713,12.481,0.2489,0.000,0.0287
read,sym4,0.10,0.9999,35.360,0.0228,0.000,0.0001
read,sym4,0.20,0.9989,26.662,0.0620,0.000,0.0011
read,sym4,0.30,0.9960,21.005,0.1188,0.000,0.0040
read,sym4,0.40,0.9904,17.194,0.1843,0.000,0.0096
read,sym4,0.50,0.9799,14.006,0.2660,0.000,0.0201
the,sym4,0.10,0.9999,37.203,0.0132,0.000,0.0001
the,sym4,0.20,0.9991,27.473,0.0405,0.000,0.0009
the,sym4,0.30,0.9969,22.086,0.0753,0.000,0.0031
the,sym4,0.40,0.9923,18.126,0.1188,0.000,0.0077
the,sym4,0.50,0.9837,14.916,0.1719,0.000,0.0163
it,sym4,0.10,0.9998,33.306,0.0204,0.000,0.0002
it,sym4,0.20,0.9983,24.662,0.0553,0.000,0.0017
