i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.4038,0.3871,9.9267,93.8686
0,2,game,firestick,N,0.4378,0.4259,11.2583,91.1399
0,3,game,correspond,N,0.3614,0.3597,11.2872,100.6196
0,4,game,game,Y,0.6309,0.6214,10.3443,93.3997
1,2,correspond,firestick,N,0.5616,0.5408,1.3316,2.7287
1,3,correspond,correspond,Y,0.7641,0.7473,1.3605,6.7510
1,4,correspond,game,N,0.4945,0.4747,0.4176,0.4689
2,3,firestick,correspond,N,0.5414,0.5203,0.0290,9.4797
2,4,firestick,game,N,0.5603,0.5383,0.9140,2.2598
3,4,correspond,game,N,0.4600,0.4409,0.9430,7.2199
