sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
enclosure,2,239.2239,6.5577,232.6662,9.5541,0.4274,0.0282
writing,2,244.6534,9.0864,235.5671,9.5667,0.4210,0.0368
