layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.46678,2.76094,1.70584,2.4467,7.1826,0.0000,0.5668,0.05384,0.2764
1,12,5.71912,3.68587,2.03325,2.5473,7.0060,0.0000,0.6079,0.04700,0.0000
2,12,7.79041,4.13662,3.65379,1.6538,7.0766,0.0000,0.5914,0.06531,0.4330
3,12,5.52801,3.25347,2.27454,2.0162,7.1393,0.0000,0.5777,0.05984,0.4330
4,12,6.59601,4.13102,2.46499,1.7458,6.9703,0.0000,0.6177,0.05374,0.0000
5,12,8.13351,5.05714,3.07638,1.6930,6.6926,0.0000,0.6779,0.03624,0.0000
6,12,8.11086,4.93486,3.17600,1.6961,6.7830,0.0000,0.6655,0.04208,0.2764
7,12,9.04230,5.53120,3.51110,1.7164,6.6387,0.0000,0.6871,0.03669,0.2764
8,12,7.12684,4.65938,2.46746,2.0627,6.7641,0.0000,0.6607,0.04117,0.0000
9,12,6.82338,4.47775,2.34564,2.2363,6.7705,0.0000,0.6616,0.03843,0.0000
10,12,11.52451,6.42457,5.09994,1.6038,6.7020,0.0000,0.6838,0.03926,0.3727
11,12,7.87223,6.06266,1.80958,3.5565,6.5564,0.0000,0.7092,0.02628,0.0000
