sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
enclosure,2,57975.8474,4861.5607,49297.0893,6.9193,0.8541,0.0986
writing,2,66587.0029,5562.5552,56673.5214,7.0637,0.8440,0.0981
