layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.11274,6.27993,4.83281,2.0455,6.7530,0.0000,0.6758,0.02822,0.4330
1,12,8.46618,5.19975,3.26643,1.8313,6.5835,0.0000,0.7086,0.02172,0.2764
2,12,8.37863,5.27756,3.10107,1.9351,6.5974,0.0000,0.7021,0.02130,0.0000
3,12,9.87861,5.61656,4.26205,1.5011,6.4762,0.0000,0.7194,0.01986,0.0000
4,12,11.60568,6.29288,5.31279,1.3135,6.4009,0.0000,0.7324,0.02170,0.3727
5,12,11.41254,6.35148,5.06106,1.3684,6.1243,0.0000,0.7748,0.01098,0.2764
6,12,11.25769,6.36930,4.88839,1.4204,6.0296,0.0000,0.7902,0.01040,0.0000
7,12,12.63508,6.80590,5.82918,1.1944,5.8577,0.0000,0.8119,0.00805,0.0000
8,12,11.38122,6.38789,4.99334,1.3368,6.0383,0.0000,0.7872,0.01106,0.0000
9,12,12.88126,7.17457,5.70669,1.3237,5.8198,0.0000,0.8170,0.00818,0.0000
10,12,12.59774,6.83911,5.75863,1.2081,6.0042,0.0000,0.7943,0.00982,0.0000
11,12,11.64006,6.66849,4.97158,1.5626,6.0938,0.0000,0.7751,0.01527,0.0000
