layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,8.10950,3.45288,4.65662,1.1270,7.3296,0.0000,0.5140,0.09176,0.5000
1,12,8.18153,3.26297,4.91857,0.9048,7.2269,0.0000,0.5556,0.06913,0.4930
2,12,8.53330,3.43324,5.10006,0.7997,6.7756,0.0000,0.6584,0.04413,0.2764
3,12,9.59909,3.81903,5.78006,0.7262,6.6894,0.0000,0.6778,0.03982,0.2764
4,12,8.34145,3.34352,4.99794,0.7316,6.6463,0.0000,0.6774,0.03713,0.0000
5,12,11.99673,8.47035,3.52638,2.7544,6.5628,0.0000,0.7123,0.03146,0.0000
