layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,0,2,4,1
0,1,4,4,7,6
0,2,6,2,4,1
0,3,4,4,7,4
0,4,5,0,7,4
0,5,4,4,7,4
0,6,6,2,4,5
0,7,0,0,0,1
0,8,0,0,0,6
0,9,6,2,4,1
0,10,6,2,4,1
0,11,6,2,4,1
1,0,5,0,0,1
1,1,0,1,0,1
1,2,0,1,3,1
1,3,6,2,4,0
1,4,0,1,1,1
1,5,0,2,4,1
1,6,0,0,0,1
1,7,0,2,4,0
1,8,3,1,1,1
1,9,3,5,1,1
1,10,0,0,0,0
1,11,4,4,7,4
2,0,6,2,4,5
2,1,3,7,6,1
2,2,5,0,7,0
2,3,5,0,0,1
2,4,0,0,0,1
2,5,0,0,0,0
2,6,3,5,1,1
2,7,6,2,4,0
2,8,7,1,3,2
2,9,5,0,0,0
2,10,6,2,4,0
2,11,3,5,1,1
3,0,1,3,2,1
3,1,7,1,3,1
3,2,5,0,0,0
3,3,7,1,3,5
3,4,1,3,2,1
3,5,3,5,1,1
3,6,6,0,4,0
3,7,5,0,0,0
3,8,7,1,3,0
3,9,7,1,3,2
3,10,3,5,1,1
3,11,0,0,0,5
4,0,7,1,3,2
4,1,5,0,0,5
4,2,1,7,2,1
4,3,0,0,0,7
4,4,3,5,1,1
4,5,7,1,3,1
4,6,7,1,3,0
4,7,0,0,0,1
4,8,1,3,2,1
4,9,7,1,0,1
4,10,1,3,2,1
4,11,2,6,7,3
5,0,1,3,2,1
5,1,1,3,5,1
5,2,0,0,0,0
5,3,0,2,4,1
5,4,7,1,3,2
5,5,1,3,2,1
5,6,3,5,1,1
5,7,7,1,3,2
5,8,3,7,6,1
5,9,1,3,2,1
5,10,0,0,0,1
5,11,7,1,3,1
6,0,0,0,0,1
6,1,1,7,6,1
6,2,1,7,2,1
6,3,3,5,6,0
6,4,3,5,1,1
6,5,3,5,1,1
6,6,1,3,2,1
6,7,0,0,0,0
6,8,0,0,0,1
6,9,1,3,5,1
6,10,1,3,2,1
6,11,7,1,3,1
7,0,7,1,3,1
7,1,1,3,2,1
7,2,1,3,5,1
7,3,3,7,6,1
7,4,3,7,6,1
7,5,3,5,1,1
7,6,3,7,6,1
7,7,1,3,5,1
7,8,5,0,0,0
7,9,3,7,6,1
7,10,1,3,5,1
7,11,1,3,5,1
8,0,1,3,2,1
8,1,1,3,5,1
8,2,3,7,6,1
8,3,1,7,6,1
8,4,7,1,3,5
8,5,0,0,0,1
8,6,1,3,2,1
8,7,7,1,3,5
8,8,3,5,1,5
8,9,7,1,3,0
8,10,3,5,1,1
8,11,1,3,2,1
9,0,3,5,1,5
9,1,1,3,5,1
9,2,3,5,1,5
9,3,7,0,0,5
9,4,1,3,2,1
9,5,1,7,6,1
9,6,1,3,5,1
9,7,1,7,6,1
9,8,3,7,6,1
9,9,1,3,5,1
9,10,7,1,3,5
9,11,1,3,5,1
10,0,3,5,1,5
10,1,1,3,2,1
10,2,1,3,5,1
10,3,3,7,6,1
10,4,3,5,1,5
10,5,3,5,1,1
10,6,7,1,3,5
10,7,3,5,1,5
10,8,1,3,5,1
10,9,7,1,3,1
10,10,1,3,2,1
10,11,7,1,3,5
11,0,6,2,4,1
11,1,3,7,6,1
11,2,1,3,2,1
11,3,0,0,0,5
11,4,3,5,1,1
11,5,1,3,2,1
11,6,1,3,2,1
11,7,3,7,6,1
11,8,5,0,7,0
11,9,1,3,5,1
11,10,7,1,3,5
11,11,7,1,3,5
