layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.34448,5.60383,4.74065,1.5454,6.8081,0.0000,0.6640,0.04042,0.4330
1,12,8.92423,4.30314,4.62109,0.9851,6.4871,0.0000,0.7269,0.01912,0.4714
2,12,9.42942,4.71143,4.71800,1.1224,6.6665,0.0000,0.6861,0.02812,0.5000
3,12,10.59719,4.65797,5.93922,0.8800,6.5218,0.0000,0.7078,0.02426,0.3727
4,12,11.78185,4.78228,6.99957,0.7352,6.3935,0.0000,0.7325,0.02464,0.2764
5,12,11.95344,4.54969,7.40375,0.6587,6.0239,0.0000,0.7892,0.01119,0.2764
6,12,11.16901,4.45560,6.71342,0.7133,6.0812,0.0000,0.7798,0.01503,0.2764
7,12,12.63744,4.71686,7.92058,0.6144,5.8658,0.0000,0.8104,0.00992,0.0000
8,12,11.94682,4.63967,7.30715,0.6484,6.0207,0.0000,0.7921,0.01336,0.0000
9,12,13.29200,4.92213,8.36986,0.5990,5.7978,0.0000,0.8194,0.00876,0.0000
10,12,13.19064,4.87567,8.31496,0.5931,5.8502,0.0000,0.8152,0.00840,0.0000
11,12,12.07083,4.92406,7.14678,0.8125,5.9883,0.0000,0.7918,0.01344,0.3727
