sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,135.3840,9.4908,118.6094,9.5478,0.4253,0.0803
tree,2,136.3723,9.7063,117.4176,9.5322,0.4339,0.0826
