sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
boat,2,127.2077,6.8729,112.6905,9.5389,0.4302,0.0611
verb,2,120.2656,8.3825,106.9072,9.5715,0.4101,0.0781
