i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,boat,verb,N,0.6475,0.6244,1.9939,17.0263
0,2,boat,boat,Y,0.7329,0.7182,1.8863,17.5881
0,3,boat,verb,N,0.5465,0.5290,2.9415,10.5751
1,2,verb,boat,N,0.4968,0.4740,0.1077,0.5618
1,3,verb,verb,Y,0.6721,0.6577,0.9476,6.4512
2,3,boat,verb,N,0.4459,0.4301,1.0552,7.0130
