sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
boat,2,219.6971,11.0667,194.3142,9.5522,0.4267,0.0568
verb,2,222.0178,12.5913,199.3209,9.5758,0.4133,0.0632
