anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,sym4,boat,2,0.10,1.0000,60.576,0.2254,1.000
ship,sym4,boat,2,0.20,1.0000,52.073,0.5945,1.000
ship,sym4,boat,2,0.30,1.0000,46.891,1.0793,1.000
ship,sym4,boat,2,0.40,1.0000,42.912,1.7021,1.000
ship,sym4,boat,2,0.50,0.9999,39.438,2.5364,1.000
ship,sym4,verb,2,0.10,1.0000,59.159,0.2752,1.000
ship,sym4,verb,2,0.20,1.0000,51.323,0.6785,1.000
ship,sym4,verb,2,0.30,1.0000,46.025,1.2521,1.000
ship,sym4,verb,2,0.40,1.0000,42.116,1.9619,1.000
ship,sym4,verb,2,0.50,0.9999,38.907,2.8358,1.000
