layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,5.61202,3.07438,2.53764,1.6834,7.2742,0.0000,0.5387,0.06748,0.4714
1,12,6.89134,2.93202,3.95932,0.9009,6.9302,0.0000,0.6241,0.04785,0.4714
2,12,8.58964,3.35574,5.23391,0.7651,7.0642,0.0000,0.6008,0.05951,0.3727
3,12,6.24079,3.21786,3.02294,1.4186,7.0613,0.0000,0.6025,0.05251,0.4714
4,12,8.00883,5.04509,2.96373,1.7659,6.8186,0.0000,0.6475,0.04569,0.0000
5,12,9.08386,5.71960,3.36426,1.7976,6.7090,0.0000,0.6779,0.03900,0.0000
6,12,8.81773,5.09747,3.72026,1.4802,6.8459,0.0000,0.6512,0.04839,0.4330
7,12,9.26986,5.85908,3.41078,1.7972,6.6356,0.0000,0.6868,0.03607,0.3727
8,12,8.41633,5.53470,2.88162,1.9807,6.6900,0.0000,0.6694,0.04252,0.0000
9,12,7.06799,4.84708,2.22091,2.4915,6.8031,0.0000,0.6411,0.04620,0.0000
10,12,13.54994,7.19020,6.35974,1.3411,6.6879,0.0000,0.6813,0.04181,0.4930
11,12,13.10853,8.72011,4.38842,2.1565,6.3182,0.0000,0.7544,0.02114,0.0000
