sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
genre,2,272.9570,19.1067,239.9419,9.5718,0.4210,0.0793
stone,2,265.5967,18.4051,233.2145,9.5931,0.4103,0.0787
