sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
correspond,2,50407.8955,1593.4790,48814.4165,6.6853,0.8583,0.0326
firestick,1,51918.3458,1636.1770,50282.1688,6.6132,0.8564,0.0325
game,2,61238.7004,1902.7077,59335.9927,6.6093,0.8628,0.0321
