i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.9969,0.9967,423.0838,13376.9923
0,2,game,firestick,N,0.9958,0.9957,296.6763,9891.9178
0,3,game,correspond,N,0.9980,0.9977,255.6648,9342.3480
0,4,game,game,Y,0.9988,0.9986,60.2913,1676.1879
1,2,correspond,firestick,N,0.9962,0.9962,126.4075,3485.0744
1,3,correspond,correspond,Y,0.9957,0.9957,167.4190,4034.6443
1,4,correspond,game,N,0.9970,0.9968,362.7926,11700.8044
2,3,firestick,correspond,N,0.9950,0.9949,41.0115,549.5699
2,4,firestick,game,N,0.9961,0.9959,236.3851,8215.7300
3,4,correspond,game,N,0.9979,0.9976,195.3736,7666.1601
