anchor,wavelet,n_examples,n_senses,cosine_separation,wavelet_separation,inter_wav,cross_wav
bank,sym4,6,2,0.2219,0.2343,0.8372,0.6029
plant,sym4,5,2,0.0582,0.0605,0.6460,0.5855
match,sym4,5,3,0.2199,0.2234,0.6843,0.4610
bark,sym4,4,2,0.1920,0.2064,0.8037,0.5973
light,sym4,4,2,0.1020,0.1047,0.6932,0.5885
rock,sym4,4,2,0.2267,0.2433,0.8407,0.5974
crane,sym4,4,2,0.0893,0.0980,0.8713,0.7733
pen,sym4,4,2,0.1300,0.1415,0.6259,0.4843
ship,sym4,4,2,0.1805,0.1896,0.8197,0.6301
mouse,sym4,4,2,0.1261,0.1425,0.8597,0.7171
