token,index,energy,entropy,info_score
##anor,27869,5.4843,9.4406,17.6480
##lland,26087,5.4622,9.3956,17.5320
##lho,28061,5.3147,9.4496,17.4145
##lika,25421,5.0432,9.3679,16.8523
##adan,26335,4.9076,9.3925,16.6834
##gano,29451,4.7791,9.4599,16.5950
##khov,25495,4.7530,9.4705,16.5708
##stov,29473,4.8264,9.3823,16.5353
##vb,26493,4.7392,9.4603,16.5301
##anto,21634,4.6899,9.4749,16.4739
##oit,28100,4.6712,9.4724,16.4384
##oku,21940,4.6796,9.4287,16.3766
##elis,29282,4.6640,9.4322,16.3566
875,27658,4.9988,9.1242,16.3465
##pse,29251,4.6002,9.4589,16.2957
##coll,26895,4.6198,9.4322,16.2828
##nem,25832,4.6389,9.4037,16.2655
820,26667,4.8948,9.1516,16.2356
##eki,26576,4.6016,9.4110,16.2157
##bola,24290,4.5213,9.4845,16.2055
##uet,23361,4.5515,9.4463,16.1917
##jm,24703,4.5698,9.4203,16.1780
##lbert,23373,4.5838,9.4016,16.1695
##eland,25689,4.5676,9.4163,16.1674
##gart,27378,4.5537,9.4169,16.1450
##encies,15266,4.4264,9.5399,16.1345
##lash,27067,4.5216,9.4330,16.1178
##alla,25425,4.5162,9.4374,16.1162
##sund,25168,4.4560,9.4984,16.1159
451,28161,4.8059,9.1620,16.1149
##litz,24725,4.4877,9.4649,16.1141
##ieri,21939,4.5145,9.4346,16.1084
##hani,23573,4.6050,9.3446,16.1068
329,29567,4.8752,9.0896,16.0953
##icular,21412,4.4082,9.5088,16.0502
##iste,27870,4.4401,9.4679,16.0366
##anal,27953,4.4025,9.4910,16.0100
##rchy,29389,4.3900,9.5039,16.0096
##iot,25185,4.3961,9.4882,15.9942
##sari,22740,4.4118,9.4673,15.9863
##jad,27875,4.4359,9.4261,15.9587
980,25195,4.6769,9.1868,15.9520
##sell,23836,4.4049,9.4268,15.9059
##oning,13369,4.3022,9.5194,15.8794
##lston,21540,4.3528,9.4564,15.8642
##kong,25460,4.3541,9.4480,15.8524
##gist,24063,4.3217,9.4821,15.8521
##igraphy,23132,4.2505,9.5472,15.8323
##olt,27914,4.3848,9.3986,15.8234
##uter,19901,4.3168,9.4682,15.8202
##oper,25918,4.3003,9.4780,15.8072
##dim,22172,4.3551,9.4165,15.8012
amman,25703,4.3717,9.3977,15.7988
##bate,20179,4.2950,9.4780,15.7976
##sul,23722,4.3183,9.4509,15.7940
##mble,19661,4.2711,9.4979,15.7877
##aran,20486,4.2846,9.4817,15.7850
##cter,21162,4.2474,9.5202,15.7819
417,27519,4.6658,9.0958,15.7763
##icon,28524,4.2959,9.4551,15.7611
##hiff,25798,4.3242,9.4242,15.7597
##egan,20307,4.2442,9.5081,15.7561
##pani,26569,4.2911,9.4534,15.7495
##ucible,21104,4.2410,9.5076,15.7495
##hema,28433,4.2826,9.4561,15.7390
lucie,28831,4.3646,9.3648,15.7313
##ngo,16656,4.3222,9.4070,15.7274
##bino,21891,4.2380,9.4807,15.6994
##ulio,24825,4.2430,9.4745,15.6983
##jic,25008,4.2665,9.4487,15.6978
##rka,22379,4.2475,9.4429,15.6540
##erik,27350,4.1805,9.5159,15.6527
##otic,20214,4.2203,9.4657,15.6425
268,25143,4.6163,9.0642,15.6418
##vitt,28656,4.2663,9.4036,15.6225
##brick,25646,4.1877,9.4844,15.6141
##erry,19826,4.2006,9.4693,15.6128
##kshi,27488,4.2204,9.4460,15.6103
##vati,20203,4.1738,9.4967,15.6089
##mme,20058,4.2186,9.4425,15.6012
##ioned,19798,4.1554,9.5087,15.5947
##nah,15272,4.1653,9.4965,15.5929
##abia,29039,4.1297,9.5220,15.5690
##lma,19145,4.1925,9.4501,15.5662
##orus,21694,4.1792,9.4597,15.5579
##xin,20303,4.2116,9.4162,15.5450
##vity,24872,4.1525,9.4764,15.5364
##cao,20808,4.1477,9.4796,15.5327
##tura,27431,4.1741,9.4364,15.5103
##pta,22799,4.1649,9.4413,15.5015
##ratic,23671,4.1213,9.4809,15.4861
##hre,28362,4.1761,9.4184,15.4844
##cius,25393,4.1339,9.4631,15.4803
##tology,23479,4.1108,9.4841,15.4719
##ssler,23385,4.1637,9.4178,15.4606
##jord,24876,4.0791,9.5099,15.4549
##uda,14066,4.1379,9.4405,15.4507
##rsa,22381,4.1128,9.4630,15.4412
##lding,24573,4.1167,9.4570,15.4387
##lley,25105,4.1704,9.3949,15.4354
317,26628,4.5045,9.0370,15.4131
##wai,21547,4.0845,9.4778,15.4127
##amo,22591,4.1282,9.4236,15.4053
##you,29337,4.0702,9.4889,15.4041
##ining,24002,4.0551,9.4882,15.3746
##kti,22462,4.0977,9.4308,15.3606
##dara,25329,4.0868,9.4416,15.3580
##ood,17139,4.0623,9.4632,15.3476
##ckle,19250,4.0495,9.4618,15.3213
##dication,25027,3.9929,9.5276,15.3206
##venor,26806,4.0482,9.4623,15.3198
##sos,17063,4.0058,9.4960,15.2943
##upt,29441,4.0019,9.5004,15.2939
##mage,26860,3.9777,9.5224,15.2832
ю,1209,4.1132,9.3644,15.2811
##scan,29378,4.0347,9.4528,15.2792
242,22431,4.3379,9.1211,15.2763
##church,22743,4.0392,9.4436,15.2726
248,24568,4.4068,9.0495,15.2724
273,25371,4.3982,9.0534,15.2646
##tec,26557,4.0132,9.4634,15.2557
##inian,15830,4.0009,9.4777,15.2555
##ginal,24965,3.9537,9.5273,15.2449
##rse,22573,4.0429,9.4190,15.2398
##uchi,15217,4.0268,9.4370,15.2387
##ovo,16059,3.9857,9.4825,15.2344
knesset,27899,3.9495,9.5236,15.2308
323,25392,4.3634,9.0669,15.2287
##ested,17944,3.9230,9.5468,15.2168
##mere,13759,3.9829,9.4671,15.2043
##amine,19915,3.9710,9.4797,15.2019
##rva,19146,3.9876,9.4552,15.1941
iata,9833,3.9204,9.5314,15.1871
