category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
special,5,2.3308,0.1825,0.4466,1.8841,0.281,9.1175,-0.840,20.020,0.547,1.948,10.097
adjective,10,1.6368,0.3941,0.5312,1.1056,0.486,9.5169,-0.827,3.373,0.441,1.396,9.190
noun,10,1.5546,0.3413,0.4814,1.0732,0.448,9.5323,-0.690,2.631,0.436,1.393,8.891
subword,2,1.4294,0.3361,0.4583,0.9710,0.476,9.5459,-0.786,3.718,0.427,1.378,8.468
verb,11,1.4116,0.2712,0.3928,1.0189,0.388,9.5415,-0.538,2.063,0.433,1.389,8.326
number,4,1.3833,0.4774,0.5669,0.8164,0.692,9.4770,-1.386,6.124,0.450,1.425,8.213
other,11,1.1411,0.1878,0.2804,0.8608,0.324,9.5362,0.005,4.303,0.433,1.387,7.141
punctuation,7,0.9614,0.1395,0.2317,0.7297,0.317,9.5468,0.129,5.180,0.428,1.385,6.419
