model,wavelet,vocab,dim,mean_energy,var_energy,mean_entropy,mean_skewness,mean_kurtosis,mean_gini,mean_compression_ratio,snr_db_levels,cosine_levels
bert-base,db4,2000,768,2.6441,0.5202,9.4638,-1.9496,12.9332,0.4517,1.4415,34.928;25.818;20.459;16.593;13.511,1.000;0.999;0.995;0.989;0.977
distilbert,db4,2000,768,3.7446,1.5018,9.3969,-2.9731,22.4924,0.4674,1.4917,35.771;26.755;21.419;17.547;14.452,1.000;0.999;0.996;0.991;0.981
gpt2,db4,2000,768,21.0541,20.0593,9.5867,0.0187,0.1290,0.4157,1.3622,32.829;23.723;18.473;14.580;11.528,1.000;0.998;0.993;0.982;0.964
