sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
animal,2,320.5009,17.1199,284.4348,9.5656,0.4258,0.0602
device,2,353.6867,24.1513,301.9934,9.5898,0.4142,0.0796
