i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,device,animal,N,0.6313,0.6178,2.9353,18.4531
0,2,device,device,Y,0.6855,0.6763,6.5656,55.4319
0,3,device,animal,N,0.5543,0.5423,4.5619,1.8615
1,2,animal,device,N,0.4992,0.4808,9.5009,36.9788
1,3,animal,animal,Y,0.7753,0.7630,1.6266,16.5916
2,3,device,animal,N,0.4853,0.4802,11.1275,53.5704
