sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
money,3,139.1248,18.0357,121.0891,9.5383,0.4316,0.1490
river,3,139.3082,16.2647,123.0434,9.5554,0.4237,0.1326
