i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.5553,0.5307,2.5342,11.1955
0,2,money,money,Y,0.8310,0.8227,2.6217,1.0810
0,3,money,river,N,0.6773,0.6616,5.2594,19.5851
0,4,money,money,Y,0.8797,0.8724,0.2828,3.2346
0,5,money,river,N,0.5634,0.5394,0.4241,18.5683
1,2,river,money,N,0.6526,0.6370,0.0876,10.1145
1,3,river,river,Y,0.8242,0.8180,2.7253,30.7807
1,4,river,money,N,0.5492,0.5283,2.2514,7.9609
1,5,river,river,Y,0.9047,0.9014,2.1101,7.3727
2,3,money,river,N,0.7456,0.7349,2.6377,20.6661
2,4,money,money,Y,0.8136,0.8068,2.3390,2.1537
2,5,money,river,N,0.6496,0.6328,2.1977,17.4873
3,4,river,money,N,0.6363,0.6187,4.9766,22.8198
3,5,river,river,Y,0.8052,0.8019,4.8354,38.1534
4,5,money,river,N,0.5615,0.5424,0.1413,15.3336
