layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,3.70535,3.25691,0.44844,22.8860,6.9675,1.2503,0.6010,0.05878,1.8856
1,12,5.74068,5.05175,0.68893,9.1302,6.5659,1.4133,0.6919,0.04243,1.4907
2,12,6.83194,6.08174,0.75021,8.7474,6.6244,1.3615,0.6849,0.04351,1.1055
3,12,4.91514,4.44135,0.47379,11.0841,6.8510,1.3396,0.6478,0.04495,1.1055
4,12,6.95314,5.96508,0.98806,7.3693,6.4495,1.4780,0.7232,0.03240,1.1055
5,12,8.89081,7.43474,1.45608,5.3445,6.0310,1.5656,0.7849,0.01744,0.0000
6,12,8.18109,6.95187,1.22922,6.1006,6.3157,1.5141,0.7529,0.02383,0.0000
7,12,8.51525,7.03126,1.48399,5.5109,6.1675,1.5730,0.7708,0.01957,1.1055
8,12,7.46736,6.20345,1.26391,5.2207,6.2441,1.5912,0.7470,0.02636,0.0000
9,12,6.62095,5.47581,1.14514,5.8862,6.3496,1.6019,0.7292,0.03716,1.4907
10,12,8.83955,6.70321,2.13634,3.8802,6.4505,1.4516,0.7169,0.03617,1.1055
11,12,7.87169,6.20148,1.67021,4.2406,6.3506,1.4155,0.7415,0.03106,0.0000
