sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,289.3717,39.6480,249.7237,9.5455,0.4333,0.1589
tree,2,272.0172,34.2672,237.7501,9.5606,0.4256,0.1450
