sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
enclosure,2,57975.8474,7767.4111,50208.4363,6.9511,0.8521,0.1548
writing,2,66587.0029,8826.6002,57760.4027,7.0693,0.8438,0.1528
