layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,5.61202,3.06837,2.54365,1.6883,7.2705,0.0000,0.5412,0.06862,0.4714
1,12,6.89134,2.98723,3.90410,0.9318,6.9072,0.0000,0.6297,0.04678,0.4714
2,12,8.58964,3.36848,5.22116,0.7798,7.0566,0.0000,0.6030,0.05865,0.4330
3,12,6.24079,3.22205,3.01874,1.4166,7.0513,0.0000,0.6056,0.05267,0.4714
4,12,8.00883,4.97011,3.03871,1.7023,6.8041,0.0000,0.6515,0.04541,0.0000
5,12,9.08386,5.63709,3.44676,1.7289,6.6847,0.0000,0.6836,0.03835,0.0000
6,12,8.81773,5.03986,3.77787,1.4380,6.8326,0.0000,0.6537,0.04971,0.4330
7,12,9.26986,5.78150,3.48836,1.7288,6.6252,0.0000,0.6899,0.03706,0.3727
8,12,8.41633,5.46359,2.95273,1.9158,6.6660,0.0000,0.6755,0.04103,0.0000
9,12,7.06799,4.79663,2.27137,2.3998,6.7772,0.0000,0.6499,0.04453,0.0000
10,12,13.54994,7.21062,6.33932,1.3530,6.6798,0.0000,0.6832,0.03805,0.4930
11,12,13.10853,8.71230,4.39623,2.1457,6.3347,0.0000,0.7535,0.01886,0.0000
