li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,1,1,11,0.3214,0.6707,0.9454,0.0609,0.0191
0,1,2,0,0.2650,0.4815,0.9881,0.0566,0.0359
0,1,2,1,0.3325,0.5703,0.9747,0.0080,0.0144
0,1,2,2,0.3052,0.5708,0.9991,0.0535,0.0181
0,1,2,3,0.1542,0.3921,0.9850,-0.0208,0.0670
0,1,2,4,0.3405,0.6453,0.9974,0.0339,0.0106
0,1,2,5,0.2143,0.5559,0.9878,0.0008,0.0360
0,1,2,6,0.2528,0.5196,0.9950,0.0272,0.0268
0,1,2,7,0.2155,0.4619,0.9930,0.0114,0.0469
0,1,2,8,0.2537,0.5148,0.9997,0.0153,0.0247
0,1,2,9,0.2337,0.5362,0.9996,-0.0243,0.0252
0,1,2,10,0.3068,0.5607,1.0000,0.0626,0.0162
0,1,2,11,0.2354,0.5084,0.9880,0.0447,0.0489
0,1,3,0,0.2768,0.5386,0.9982,0.0027,0.0134
0,1,3,1,0.2364,0.4747,0.9879,0.0291,0.0379
0,1,3,2,0.1863,0.4494,0.9904,-0.0047,0.0543
0,1,3,3,0.2057,0.4105,0.9855,0.0241,0.0576
0,1,3,4,0.2117,0.5832,0.9920,0.0100,0.0511
0,1,3,5,0.3225,0.6010,0.9915,0.0723,0.0153
0,1,3,6,0.1720,0.3741,0.9889,0.0106,0.0738
0,1,3,7,0.1628,0.3677,0.9876,0.0005,0.0741
0,1,3,8,0.2482,0.5281,0.9448,-0.0195,0.0195
0,1,3,9,0.2011,0.4386,0.9970,-0.0029,0.0482
0,1,3,10,0.2636,0.5112,0.9735,0.0765,0.0447
0,1,3,11,0.2009,0.4247,0.9935,0.0225,0.0589
0,1,4,0,0.1952,0.4658,0.9813,-0.0132,0.0484
0,1,4,1,0.2408,0.4633,0.9836,0.0417,0.0452
0,1,4,2,0.2632,0.5256,0.9999,-0.0235,0.0189
0,1,4,3,0.1835,0.4329,0.9945,-0.0271,0.0472
0,1,4,4,0.2421,0.4683,0.9892,0.0374,0.0443
0,1,4,5,0.2297,0.5029,0.9836,0.0014,0.0326
0,1,4,6,0.1676,0.3872,0.9911,-0.0082,0.0664
0,1,4,7,0.2407,0.4964,0.9767,0.0397,0.0380
0,1,4,8,0.2943,0.5514,0.9950,0.0016,0.0167
0,1,4,9,0.1721,0.3762,0.9845,-0.0044,0.0682
0,1,4,10,0.3295,0.5378,0.9982,0.0382,0.0167
0,1,4,11,0.3211,0.4898,0.9983,0.0547,0.0223
0,1,5,0,0.3203,0.5711,0.9390,0.0060,0.0128
0,1,5,1,0.2545,0.5217,0.9429,-0.0375,0.0236
0,1,5,2,0.3296,0.5932,0.8784,-0.0448,0.0101
0,1,5,3,0.2385,0.5353,0.9325,-0.0724,0.0228
0,1,5,4,0.1730,0.4995,0.9638,-0.1205,0.0303
0,1,5,5,0.2627,0.5373,0.9539,-0.0511,0.0201
0,1,5,6,0.2114,0.5032,0.9397,-0.0753,0.0327
0,1,5,7,0.2111,0.5032,0.9606,-0.0305,0.0395
0,1,5,8,0.3247,0.6573,0.9564,0.0073,0.0097
0,1,5,9,0.3081,0.5622,0.8741,-0.0840,0.0132
0,1,5,10,0.2733,0.5668,0.9380,-0.0248,0.0186
0,1,5,11,0.2097,0.4983,0.9597,-0.0354,0.0399
0,2,0,0,0.3196,0.5178,0.7190,0.1219,0.0958
0,2,0,1,0.2189,0.5843,0.9993,0.0616,0.0679
0,2,0,2,1.0000,1.0000,1.0000,1.0000,0.0000
0,2,0,3,0.7568,0.8344,0.9499,0.7276,0.0379
0,2,0,4,0.3960,0.6444,0.9420,0.2784,0.0801
0,2,0,5,0.3451,0.5682,0.9659,0.2247,0.0632
0,2,0,6,0.2463,0.5205,0.9333,0.0864,0.0725
0,2,0,7,0.3364,0.5847,0.9979,0.2289,0.0492
0,2,0,8,0.2385,0.5458,0.9649,0.0921,0.0632
0,2,0,9,0.2972,0.5212,0.9223,0.1924,0.0435
0,2,0,10,0.1983,0.6263,0.9940,0.1077,0.0141
0,2,0,11,0.5427,0.7018,0.9227,0.4729,0.0565
0,2,1,0,0.0753,0.5797,0.9869,-0.0078,0.0160
0,2,1,1,0.5603,0.7042,0.9242,0.4958,0.0586
0,2,1,2,0.3450,0.5694,0.9283,0.2337,0.0562
0,2,1,3,0.3751,0.5314,0.8871,0.2695,0.0551
0,2,1,4,0.4179,0.6332,0.9452,0.3387,0.0375
0,2,1,5,0.3539,0.5305,0.8248,0.2269,0.0692
0,2,1,6,0.1128,0.6167,0.9686,-0.0335,0.0514
0,2,1,7,0.4166,0.6030,0.7980,0.3166,0.0627
0,2,1,8,0.4347,0.6155,0.9417,0.3470,0.0535
0,2,1,9,0.0584,0.5744,0.9838,-0.0265,0.0158
0,2,1,10,0.3005,0.5380,0.9429,0.1968,0.0410
0,2,1,11,0.3376,0.5358,0.9329,0.2264,0.0569
0,2,2,0,0.0738,0.3055,0.9931,-0.0529,0.0325
0,2,2,1,0.1414,0.4307,0.9659,-0.0460,0.0739
0,2,2,2,0.1583,0.4173,0.9969,0.0171,0.0530
0,2,2,3,0.0289,0.2682,0.9906,-0.0699,0.0051
0,2,2,4,0.1225,0.4107,0.9941,-0.0626,0.0708
0,2,2,5,0.1388,0.4415,0.9928,0.0263,0.0348
0,2,2,6,0.1434,0.4201,0.9980,0.0205,0.0418
0,2,2,7,0.2805,0.4284,0.9966,0.1904,0.0252
0,2,2,8,0.0725,0.2977,0.9999,-0.0681,0.0457
0,2,2,9,0.1706,0.3888,0.9978,0.0405,0.0439
0,2,2,10,0.2510,0.4853,0.9993,0.1302,0.0550
0,2,2,11,0.0619,0.3789,0.9930,-0.0525,0.0215
0,2,3,0,0.1438,0.3955,0.9954,-0.0059,0.0570
0,2,3,1,0.0505,0.2757,0.9929,-0.0742,0.0303
0,2,3,2,0.0562,0.2797,0.9948,-0.0520,0.0145
0,2,3,3,0.1054,0.2825,0.9910,0.0048,0.0137
0,2,3,4,0.4640,0.6248,0.9959,0.3984,0.0266
0,2,3,5,0.0999,0.3783,0.9955,-0.0553,0.0559
0,2,3,6,0.0321,0.2231,0.9936,-0.0619,0.0104
0,2,3,7,0.0494,0.2242,0.9927,-0.0421,0.0107
0,2,3,8,0.0816,0.3259,0.9323,-0.0717,0.0500
0,2,3,9,0.1747,0.3375,0.9992,0.0729,0.0211
0,2,3,10,0.0506,0.3607,0.9811,-0.0677,0.0238
0,2,3,11,0.0962,0.2713,0.9970,-0.0032,0.0119
0,2,4,0,0.0445,0.3227,0.9876,-0.0750,0.0237
0,2,4,1,0.0569,0.3013,0.9895,-0.0634,0.0240
0,2,4,2,0.1061,0.3553,0.9988,-0.0550,0.0558
0,2,4,3,0.1042,0.2919,0.9977,-0.0072,0.0235
0,2,4,4,0.0564,0.2856,0.9939,-0.0670,0.0250
0,2,4,5,0.0561,0.3162,0.9895,-0.0777,0.0363
0,2,4,6,0.0455,0.2523,0.9953,-0.0537,0.0087
0,2,4,7,0.0574,0.3032,0.9838,-0.0637,0.0320
0,2,4,8,0.1406,0.3999,0.9907,-0.0221,0.0574
