sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,289.3717,19.6771,251.1626,9.5691,0.4218,0.0783
tree,2,272.0172,17.4680,236.0841,9.6002,0.4075,0.0743
