anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
mouse,sym4,animal,2,0.10,0.9998,34.680,0.2911,1.000
mouse,sym4,animal,2,0.20,0.9983,24.681,0.9194,1.000
mouse,sym4,animal,2,0.30,0.9940,19.224,1.7218,1.000
mouse,sym4,animal,2,0.40,0.9854,15.376,2.6816,1.000
mouse,sym4,animal,2,0.50,0.9683,12.051,3.9319,1.000
mouse,sym4,device,2,0.10,0.9997,32.429,0.3983,1.000
mouse,sym4,device,2,0.20,0.9980,24.016,1.0432,1.000
mouse,sym4,device,2,0.30,0.9933,18.756,1.9113,1.000
mouse,sym4,device,2,0.40,0.9837,14.917,2.9735,1.000
mouse,sym4,device,2,0.50,0.9657,11.716,4.2982,1.000
