category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
special,5,2.3308,0.1690,0.2943,1.9204,0.206,9.1463,-0.854,26.753,0.538,1.879,10.138
adjective,10,1.6368,0.3830,0.4515,1.1074,0.413,9.5175,-1.187,6.518,0.436,1.399,9.191
noun,10,1.5546,0.3267,0.3964,1.0763,0.367,9.5282,-1.005,4.776,0.434,1.394,8.888
subword,2,1.4294,0.3178,0.3954,0.9709,0.412,9.5284,-1.187,6.040,0.432,1.394,8.452
verb,11,1.4116,0.2598,0.3245,1.0219,0.319,9.5373,-0.873,3.900,0.431,1.392,8.324
number,4,1.3833,0.4724,0.5167,0.8142,0.632,9.4583,-2.168,13.311,0.452,1.444,8.197
other,11,1.1411,0.1782,0.2338,0.8532,0.271,9.5238,-0.582,4.354,0.437,1.406,7.130
punctuation,7,0.9614,0.1295,0.1771,0.7271,0.243,9.5307,-0.453,3.848,0.436,1.396,6.408
