token,index,energy,entropy,info_score
enegger,44028,49.5116,9.6109,37.6960
terday,6432,45.7610,9.5736,36.8111
Ħ¢,8008,38.7831,9.5779,35.2795
arthed,36370,36.9512,9.5906,34.8742
"]=>,23785,37.1420,9.5562,34.7970
anooga,42165,35.9362,9.5923,34.6205
ibrary,4115,35.8335,9.5904,34.5869
agher,30450,35.7333,9.5933,34.5711
ibur,38616,35.7764,9.5815,34.5398
atform,3390,35.6648,9.5895,34.5398
ollah,17999,35.8386,9.5697,34.5135
agos,48215,35.7254,9.5658,34.4701
krit,44531,35.3546,9.5677,34.3799
aeda,11641,35.4766,9.5547,34.3652
stocks,29522,34.5898,9.5773,34.2107
perty,9287,34.2383,9.5857,34.1454
edin,27152,34.2021,9.5780,34.1084
quartered,42508,33.8524,9.6013,34.0955
cham,49869,33.9837,9.5641,33.9991
Ġrul,2155,33.6643,9.5784,33.9624
reau,43611,33.7148,9.5700,33.9462
zeb,38130,33.2840,9.5955,33.9169
hiba,49224,33.5909,9.5701,33.9126
Ġproble,1369,33.4408,9.5699,33.8702
Ġtoile,13392,33.5090,9.5626,33.8631
ĺħ,11805,33.3370,9.5706,33.8439
Thumbnail,35523,33.5741,9.5447,33.8177
gencies,33333,32.8589,9.6002,33.8139
chuk,46019,33.3169,9.5601,33.8011
ties,4278,33.1211,9.5710,33.7847
aspers,49412,32.9876,9.5789,33.7753
otin,41403,32.8568,9.5811,33.7458
itiveness,31366,32.8856,9.5739,33.7287
adr,41909,32.6150,9.5955,33.7280
itud,26331,32.4782,9.5877,33.6615
bard,23024,32.6278,9.5641,33.6212
flies,27959,32.1349,9.6018,33.6120
atari,35554,31.7821,9.6040,33.5168
elist,46331,32.0180,9.5775,33.4929
teness,43205,32.0805,9.5699,33.4846
arios,13010,31.9847,9.5761,33.4785
shire,10932,32.0040,9.5708,33.4656
ships,26313,31.9359,9.5716,33.4485
foundland,42030,31.5173,9.5781,33.3487
Ġfundament,14387,31.5095,9.5759,33.3386
icago,4549,31.4646,9.5790,33.3365
ueller,16466,31.2185,9.5981,33.3299
adesh,13410,31.1715,9.5999,33.3221
zin,42140,31.4542,9.5721,33.3092
folios,45242,31.1386,9.5943,33.2928
yrus,21180,31.1774,9.5822,33.2623
romy,50228,31.0363,9.5927,33.2567
bender,45666,31.0334,9.5913,33.2510
Dispatch,49354,31.4821,9.5526,33.2497
dain,27162,30.6388,9.6206,33.2334
adish,48563,31.2766,9.5594,33.2125
vae,33353,31.2620,9.5552,33.1938
jee,34589,30.6372,9.6021,33.1688
Ġsubp,22718,30.8548,9.5830,33.1687
lag,30909,30.6275,9.5980,33.1517
ĠTuls,33219,30.9942,9.5640,33.1447
inka,48955,30.8263,9.5730,33.1254
gradient,49607,30.9659,9.5542,33.1023
cest,9165,30.4954,9.5922,33.0916
@#&,48193,30.7861,9.5638,33.0815
Ġrecip,7450,30.3489,9.5963,33.0611
reb,34806,30.4884,9.5810,33.0508
enger,6540,30.9223,9.5431,33.0505
vic,25531,30.2934,9.5979,33.0494
pak,41091,30.3650,9.5912,33.0483
Ġtarg,2103,30.3269,9.5939,33.0459
anie,34166,30.6908,9.5564,33.0271
erville,33487,30.5251,9.5668,33.0128
alys,26266,30.1603,9.5952,32.9994
Quantity,31208,30.2286,9.5719,32.9400
isson,30927,30.1211,9.5777,32.9269
clud,758,30.1114,9.5764,32.9196
asin,47337,29.8816,9.5900,32.8953
inea,18343,29.7865,9.5976,32.8917
dyl,30360,30.0668,9.5685,32.8788
JV,41697,29.8359,9.5864,32.8688
leground,28272,29.8993,9.5778,32.8589
laughter,27815,29.7078,9.5911,32.8449
opa,26186,29.6965,9.5909,32.8405
Ġappre,5208,29.6103,9.5941,32.8245
=-=-,16822,29.8723,9.5692,32.8211
rio,27250,29.8774,9.5688,32.8211
hao,23778,29.9282,9.5631,32.8173
ourke,49003,29.7086,9.5816,32.8126
ional,1538,29.6402,9.5875,32.8116
endment,5904,30.0044,9.5523,32.8038
adan,29157,29.5344,9.5941,32.8009
imental,9134,29.6992,9.5765,32.7921
metry,41935,29.5724,9.5876,32.7904
ocaust,16377,29.6281,9.5690,32.7445
ldom,23826,29.6577,9.5651,32.7404
uterte,23314,29.4360,9.5844,32.7366
ĠDPR,41176,29.5864,9.5675,32.7261
Ġiod,41080,28.9933,9.6196,32.7160
ILY,33340,29.8663,9.5375,32.7104
istas,37503,29.1625,9.6000,32.7033
ĠHeist,50157,29.3523,9.5790,32.6919
Ġsubsequ,6399,29.5247,9.5621,32.6886
isers,21572,29.4344,9.5679,32.6797
asonic,30189,29.1069,9.5839,32.6309
translation,41519,29.1284,9.5817,32.6302
ropy,28338,29.0064,9.5885,32.6146
ctica,28914,28.8813,9.5969,32.6028
oak,15877,28.8213,9.6014,32.5990
Override,37961,29.0691,9.5741,32.5854
anyl,34816,28.6862,9.6088,32.5803
llo,18798,29.3542,9.5423,32.5674
chool,1251,28.9924,9.5755,32.5658
È,132,29.0267,9.5719,32.5645
«ĺ,45865,28.9705,9.5720,32.5468
legram,30536,28.6965,9.5974,32.5452
atoon,23122,28.8725,9.5763,32.5303
enfranch,39827,28.7156,9.5859,32.5123
lust,38878,28.7693,9.5780,32.5026
DAY,26442,28.6316,9.5877,32.4912
%);,49563,28.7138,9.5761,32.4783
crop,31476,28.8330,9.5635,32.4738
Ġeconom,1707,28.6375,9.5792,32.4641
properties,48310,28.6012,9.5820,32.4621
ç¥ŀ,15351,28.9299,9.5485,32.4540
acements,28613,28.6445,9.5732,32.4461
IRE,41736,28.1868,9.6145,32.4365
bread,29573,28.3991,9.5935,32.4353
alid,10751,28.5581,9.5776,32.4333
elong,21537,28.5702,9.5760,32.4317
comed,15128,28.4893,9.5813,32.4234
casts,40924,28.4294,9.5813,32.4039
vag,29821,28.4466,9.5784,32.3997
ĠESV,33910,28.4446,9.5780,32.3978
ĠCipher,44334,28.4145,9.5796,32.3933
PF,42668,28.1988,9.5996,32.3902
ĠProced,23652,28.4088,9.5786,32.3882
[_,29795,28.4621,9.5730,32.3865
artz,13636,28.3829,9.5800,32.3844
iliary,28129,28.4354,9.5748,32.3839
ĠGEAR,43790,28.2860,9.5884,32.3812
die,11979,28.1673,9.5989,32.3777
ATURE,40086,28.3435,9.5816,32.3767
egg,33856,27.8336,9.6312,32.3758
iesta,36283,28.5665,9.5594,32.3744
arte,32074,28.0297,9.6011,32.3395
agnetic,25145,28.2534,9.5785,32.3370
Demand,42782,28.3381,9.5699,32.3358
ĠMFT,43910,28.1296,9.5889,32.3313
""",37811,28.1617,9.5826,32.3208
Tea,49770,28.1886,9.5796,32.3195
UTH,24318,28.1124,9.5866,32.3182
ornings,28863,28.2103,9.5752,32.3119
omorph,25831,28.2240,9.5649,32.2814
ilities,2410,28.0342,9.5825,32.2785
Ġdissatisf,27570,28.0075,9.5843,32.2755
ĠImmunity,46824,28.1636,9.5665,32.2669
ĠAnge,49759,27.8536,9.5961,32.2642
Cub,43632,27.9133,9.5867,32.2526
phans,44464,28.0197,9.5746,32.2471
ĠWinc,35898,28.0962,9.5659,32.2430
oru,27786,27.9230,9.5827,32.2422
trump,40954,27.7641,9.5952,32.2315
dress,49380,27.9122,9.5774,32.2210
ilde,44725,27.9542,9.5720,32.2166
OAD,41048,28.1262,9.5536,32.2112
INAL,17961,27.8644,9.5791,32.2108
mate,9830,27.8414,9.5811,32.2097
pan,6839,27.5735,9.6076,32.2092
aram,41158,27.6580,9.5991,32.2092
roup,3233,27.7242,9.5922,32.2080
oland,23573,27.5570,9.6066,32.2004
orer,11934,27.8990,9.5725,32.2001
ĠSynd,19148,27.4533,9.6165,32.1985
glas,14391,27.7744,9.5803,32.1850
Ġmarqu,44054,27.7963,9.5758,32.1770
WT,39386,27.8092,9.5743,32.1765
Course,49046,27.6866,9.5852,32.1722
ature,1300,27.6413,9.5888,32.1690
avid,8490,27.5987,9.5928,32.1681
iberal,16813,27.6907,9.5829,32.1658
ixties,46550,27.7964,9.5715,32.1625
cible,37369,27.6163,9.5892,32.1618
ittee,2979,27.8050,9.5697,32.1595
istration,33397,27.5588,9.5928,32.1547
fram,19298,27.4822,9.5975,32.1447
WAY,27285,27.7651,9.5679,32.1401
ĠCrate,37504,27.9226,9.5511,32.1360
hirt,49756,27.8068,9.5621,32.1344
iency,6160,27.6026,9.5799,32.1263
hawk,40624,27.9960,9.5390,32.1194
BRE,40438,27.6196,9.5716,32.1041
ographs,33492,27.5920,9.5736,32.1016
esse,35270,27.4041,9.5924,32.1013
mys,28744,27.3367,9.5974,32.0953
edu,15532,27.4794,9.5773,32.0760
ĠÂ¶,30581,27.3449,9.5902,32.0739
MU,42422,27.3320,9.5909,32.0718
ĠLovecraft,37655,27.4202,9.5791,32.0623
/#,31113,27.5001,9.5692,32.0558
