category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
noun,9,21.7115,0.0071,0.7385,20.9730,0.036,9.5891,0.016,0.133,0.414,1.361,29.876
adjective,7,21.3178,0.0040,0.8634,20.4544,0.042,9.5675,-0.035,0.215,0.425,1.380,29.685
verb,11,20.1501,0.0124,0.6302,19.5199,0.033,9.5927,-0.006,-0.029,0.414,1.356,29.166
punctuation,7,14.0307,0.0011,0.4032,13.6275,0.030,9.4038,-1.172,20.318,0.470,1.488,25.474
other,13,13.1426,0.0013,0.3501,12.7925,0.026,9.5385,-0.136,2.476,0.433,1.398,25.072
number,4,11.2766,0.0002,0.2938,10.9827,0.027,9.5711,-0.043,0.418,0.424,1.376,23.985
