layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.46678,3.88635,0.58043,16.8574,6.9486,1.3244,0.6017,0.05473,1.8856
1,12,5.71912,4.99916,0.71996,8.0194,6.6695,1.4410,0.6661,0.04672,1.8856
2,12,7.79041,6.93865,0.85176,8.5353,6.7136,1.3716,0.6626,0.04819,1.1055
3,12,5.52801,4.92368,0.60433,9.3670,6.9067,1.3556,0.6290,0.04788,1.7321
4,12,6.59601,5.64393,0.95208,8.3502,6.7243,1.4648,0.6706,0.04474,1.1055
5,12,8.13351,6.84808,1.28543,5.6699,6.3426,1.5406,0.7370,0.02479,0.0000
6,12,8.11086,6.84875,1.26210,5.6112,6.4685,1.5263,0.7279,0.02674,0.0000
7,12,9.04229,7.39581,1.64648,5.3798,6.3028,1.5432,0.7380,0.02629,1.1055
8,12,7.12684,5.97338,1.15346,5.7689,6.4400,1.5710,0.7167,0.03484,0.0000
9,12,6.82338,5.67612,1.14726,5.3159,6.4941,1.6063,0.7047,0.03671,1.4907
10,12,11.52451,7.66521,3.85931,2.7135,6.3132,1.5455,0.7384,0.02912,1.1902
11,12,7.87223,4.54262,3.32961,1.5618,6.1663,1.7620,0.7571,0.02575,1.2802
