i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.5553,0.5307,1.1165,7.5449
0,2,money,money,Y,0.8310,0.8227,1.7070,0.1662
0,3,money,river,N,0.6773,0.6616,2.5871,22.2574
0,4,money,money,Y,0.8797,0.8724,0.0071,2.9590
0,5,money,river,N,0.5634,0.5394,1.7652,16.3790
1,2,river,money,N,0.6526,0.6370,2.8235,7.3786
1,3,river,river,Y,0.8242,0.8180,3.7036,29.8023
1,4,river,money,N,0.5492,0.5283,1.1236,4.5859
1,5,river,river,Y,0.9047,0.9014,0.6487,8.8341
2,3,money,river,N,0.7456,0.7349,0.8801,22.4237
2,4,money,money,Y,0.8136,0.8068,1.6999,2.7927
2,5,money,river,N,0.6496,0.6328,3.4722,16.2127
3,4,river,money,N,0.6363,0.6187,2.5800,25.2164
3,5,river,river,Y,0.8052,0.8019,4.3523,38.6364
4,5,money,river,N,0.5615,0.5424,1.7723,13.4200
