category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
special,5,2.3308,0.1551,0.2230,2.1078,0.153,9.0865,-2.008,46.145,0.543,1.985,10.050
adjective,10,1.6368,0.3753,0.4149,1.2219,0.343,9.5266,-3.514,54.310,0.429,1.414,9.200
noun,10,1.5546,0.3205,0.3571,1.1975,0.296,9.5393,-2.899,41.892,0.425,1.407,8.898
subword,2,1.4294,0.3082,0.3588,1.0705,0.341,9.5267,-3.205,46.998,0.429,1.420,8.450
verb,11,1.4116,0.2524,0.2897,1.1219,0.259,9.5432,-2.431,33.062,0.425,1.396,8.329
number,4,1.3833,0.4696,0.4905,0.8928,0.547,9.5070,-6.195,115.640,0.429,1.436,8.239
other,11,1.1411,0.1710,0.1985,0.9426,0.208,9.5180,-1.966,24.137,0.435,1.416,7.127
punctuation,7,0.9614,0.1236,0.1515,0.8099,0.187,9.5327,-1.689,18.831,0.430,1.404,6.409
