layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.07798,2.38373,1.69425,1.7335,7.1975,0.0000,0.5603,0.05395,0.2764
1,12,5.16652,2.68161,2.48491,1.3642,7.0409,0.0000,0.5998,0.04695,0.4330
2,12,6.85173,3.01939,3.83234,1.0268,6.9948,0.0000,0.6153,0.04893,0.5000
3,12,5.24394,2.56990,2.67404,1.1157,7.1015,0.0000,0.5907,0.05579,0.4930
4,12,7.42585,3.82094,3.60490,1.0817,6.8130,0.0000,0.6569,0.04426,0.4330
5,12,8.08908,4.10455,3.98453,1.0975,6.7489,0.0000,0.6765,0.03223,0.4930
6,12,8.37423,3.98214,4.39210,0.9332,6.7373,0.0000,0.6815,0.03271,0.4930
7,12,8.55676,4.47304,4.08373,1.1410,6.6755,0.0000,0.6865,0.03385,0.4714
8,12,7.77419,4.11489,3.65930,1.2738,6.6844,0.0000,0.6852,0.02852,0.4714
9,12,7.51767,4.07584,3.44182,1.2373,6.6673,0.0000,0.6790,0.03687,0.2764
10,12,11.39868,6.70231,4.69637,1.6797,6.7016,0.0000,0.6853,0.03364,0.2764
11,12,11.52216,8.09648,3.42568,2.5334,6.3625,0.0000,0.7479,0.01968,0.0000
