layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.51713,8.09460,2.42253,3.2626,6.2843,1.7261,0.7567,0.00000,1.7321
1,12,8.10036,6.20679,1.89356,3.4125,5.9978,1.7664,0.7944,0.00000,0.0000
2,12,8.70214,6.84075,1.86139,3.7411,6.1159,1.7452,0.7807,0.00000,1.1055
3,12,10.19397,8.07854,2.11543,3.9008,5.9497,1.7156,0.7930,0.00000,0.0000
4,12,11.84184,9.55156,2.29028,4.2928,5.8287,1.6421,0.8117,0.00000,0.0000
5,12,11.64559,9.23763,2.40796,3.8452,5.3992,1.7148,0.8501,0.00000,0.0000
6,12,10.86967,8.56897,2.30070,3.7735,5.5770,1.7142,0.8387,0.00000,0.0000
7,12,12.37319,9.91732,2.45586,4.0006,5.2067,1.6857,0.8618,0.00000,0.0000
8,12,11.32524,9.07018,2.25507,4.0286,5.4829,1.6887,0.8455,0.00000,0.0000
9,12,12.89190,10.22249,2.66941,3.8863,5.0738,1.6995,0.8775,0.00000,0.0000
10,12,13.01565,10.41042,2.60523,4.0190,5.0636,1.6837,0.8802,0.00000,0.0000
11,12,11.77968,9.39782,2.38186,3.8976,5.4188,1.6990,0.8419,0.00000,0.0000
