layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.36370,2.78404,1.57966,2.4635,7.1993,0.0000,0.5593,0.05655,0.0000
1,12,7.60127,4.80349,2.79778,1.8865,6.7259,0.0000,0.6682,0.03689,0.0000
2,12,9.11918,4.80047,4.31871,1.4279,6.8805,0.0000,0.6413,0.05677,0.3727
3,12,6.19696,3.62162,2.57535,1.7083,7.0671,0.0000,0.6000,0.05662,0.3727
4,12,7.66610,4.79834,2.86777,1.7575,6.8200,0.0000,0.6533,0.04305,0.0000
5,12,8.85229,5.45807,3.39422,1.7315,6.7457,0.0000,0.6701,0.04238,0.2764
6,12,9.15763,5.65545,3.50217,1.6888,6.7289,0.0000,0.6751,0.04208,0.2764
7,12,8.85247,5.68741,3.16506,1.8802,6.6371,0.0000,0.6892,0.03895,0.0000
8,12,7.75822,5.12251,2.63571,2.1339,6.6586,0.0000,0.6866,0.03389,0.0000
9,12,6.16959,3.98345,2.18614,1.8712,6.9290,0.0000,0.6289,0.05184,0.0000
10,12,9.68696,6.26050,3.42646,1.9315,6.4825,0.0000,0.7169,0.03340,0.0000
11,12,10.88137,7.16648,3.71489,1.9299,6.1836,0.0000,0.7658,0.01958,0.0000
