sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
animal,2,53452.8964,2613.6046,47754.2919,7.2202,0.8462,0.0547
device,2,70637.0409,3429.7572,63144.9017,7.1101,0.8551,0.0543
