model,wavelet,vocab,dim,mean_energy,var_energy,mean_entropy,mean_skewness,mean_kurtosis,mean_gini,mean_compression_ratio,snr_db_levels,cosine_levels
bert-base,sym4,2000,768,2.6441,0.5202,9.4648,-2.0275,13.0542,0.4511,1.4412,35.017;25.817;20.443;16.583;13.512,1.000;0.999;0.995;0.989;0.977
distilbert,sym4,2000,768,3.7446,1.5018,9.3978,-3.0926,22.6353,0.4669,1.4906,35.889;26.733;21.402;17.516;14.434,1.000;0.999;0.996;0.991;0.981
gpt2,sym4,2000,768,21.0541,20.0593,9.5879,0.0276,0.1093,0.4151,1.3616,32.838;23.702;18.367;14.505;11.465,1.000;0.998;0.993;0.982;0.963
