model,wavelet,vocab,dim,mean_energy,var_energy,mean_entropy,mean_skewness,mean_kurtosis,mean_gini,mean_compression_ratio,snr_db_levels,cosine_levels
bert-base,haar,2000,768,2.6441,0.5202,9.4930,-5.6819,106.1499,0.4367,1.4474,35.070;25.911;20.543;16.638;13.556,1.000;0.999;0.995;0.989;0.977
distilbert,haar,2000,768,3.7446,1.5018,9.4440,-8.6948,184.7570,0.4479,1.5026,36.024;26.872;21.507;17.590;14.516,1.000;0.999;0.996;0.991;0.981
gpt2,haar,2000,768,21.0541,20.0593,9.5827,0.0221,0.1635,0.4176,1.3664,33.049;23.967;18.528;14.629;11.554,1.000;0.998;0.993;0.983;0.964
