model,method,budget_bytes,param,cosine,jaccard10,bytes_per_token,extra
roberta-base,topk_f32,64,nnz=10,0.32956,0.0451,60,
roberta-base,wav_f32,64,nnz=10,0.19901,0.0163,60,
roberta-base,topk_i8,64,nnz=21,0.43395,0.0751,63,
roberta-base,wav_i8,64,nnz=21,0.34818,0.0377,63,
roberta-base,topk_f32,128,nnz=21,0.43396,0.0751,126,
roberta-base,wav_f32,128,nnz=21,0.34818,0.0377,126,
roberta-base,topk_i8,128,nnz=42,0.55026,0.1317,126,
roberta-base,wav_i8,128,nnz=42,0.47933,0.0747,126,
roberta-base,topk_f32,256,nnz=42,0.55026,0.1319,252,
roberta-base,wav_f32,256,nnz=42,0.47933,0.0745,252,
roberta-base,topk_i8,256,nnz=85,0.6952,0.2632,255,
roberta-base,wav_i8,256,nnz=85,0.62214,0.1566,255,
roberta-base,topk_f32,512,nnz=85,0.69521,0.2632,510,
roberta-base,wav_f32,512,nnz=85,0.62215,0.1568,510,
roberta-base,topk_i8,512,nnz=170,0.84698,0.449,510,
roberta-base,wav_i8,512,nnz=170,0.76902,0.3127,510,
roberta-base,topk_f32,1024,nnz=170,0.84699,0.4493,1020,
roberta-base,wav_f32,1024,nnz=170,0.76903,0.3128,1020,
roberta-base,topk_i8,1024,nnz=341,0.9589,0.6786,1023,
roberta-base,wav_i8,1024,nnz=341,0.9053,0.5346,1023,
roberta-base,pca,64,d=16,0.36174,0.1841,65.0,
roberta-base,rand_proj,64,d=16,0.14223,0.0243,65.0,
roberta-base,dct_f32,64,nnz=10,0.32628,0.0259,60,
roberta-base,fft_c64,64,nnz=10,0.34921,0.0286,100,
roberta-base,pq,64,m=64,0.72234,0.2502,79.6,
roberta-base,pca,128,d=32,0.42213,0.2311,130.0,
roberta-base,rand_proj,128,d=32,0.20297,0.0488,130.0,
roberta-base,dct_f32,128,nnz=21,0.42957,0.0447,126,
roberta-base,fft_c64,128,nnz=21,0.46337,0.0551,210,
roberta-base,pq,128,m=128,0.87986,0.4811,143.6,
roberta-base,pca,256,d=64,0.50412,0.2957,260.0,
roberta-base,rand_proj,256,d=64,0.28522,0.0886,259.9,
roberta-base,dct_f32,256,nnz=42,0.54742,0.0918,252,
roberta-base,fft_c64,256,nnz=42,0.59377,0.1171,420,
roberta-base,pq,256,m=256,0.97583,0.7392,271.6,
roberta-base,pca,512,d=128,0.61777,0.3914,519.9,
roberta-base,rand_proj,512,d=128,0.4075,0.1715,519.8,
roberta-base,dct_f32,512,nnz=85,0.68538,0.1998,510,
roberta-base,fft_c64,512,nnz=85,0.74565,0.2734,850,
roberta-base,pca,1024,d=256,0.75719,0.5311,1039.7,
roberta-base,rand_proj,1024,d=256,0.57786,0.3011,1039.6,
roberta-base,dct_f32,1024,nnz=170,0.82728,0.3938,1020,
roberta-base,fft_c64,1024,nnz=170,0.89638,0.5156,1700,
