model,method,param,eff_bytes,cosine,jaccard10
bert-base,topk_f32,nnz=10,60.0,0.31752,0.0365
bert-base,wav_f32,nnz=10,60.0,0.57348,0.0341
bert-base,topk_i8,nnz=21,65.0,0.41866,0.05
bert-base,wav_i8,nnz=21,65.0,0.62536,0.1436
bert-base,topk_f32,nnz=21,126.0,0.41866,0.0498
bert-base,wav_f32,nnz=21,126.0,0.62537,0.1437
bert-base,topk_i8,nnz=42,128.0,0.53482,0.0678
bert-base,wav_i8,nnz=42,128.0,0.6861,0.1791
bert-base,topk_f32,nnz=42,252.0,0.53482,0.0679
bert-base,wav_f32,nnz=42,252.0,0.68611,0.1787
bert-base,topk_i8,nnz=85,257.0,0.67186,0.0928
bert-base,wav_i8,nnz=85,257.0,0.76375,0.2118
bert-base,topk_f32,nnz=85,510.0,0.67187,0.0928
bert-base,wav_f32,nnz=85,510.0,0.76376,0.212
bert-base,topk_i8,nnz=170,512.0,0.81615,0.1445
bert-base,wav_i8,nnz=170,512.0,0.85127,0.2783
bert-base,topk_f32,nnz=170,1020.0,0.81615,0.1448
bert-base,wav_f32,nnz=170,1020.0,0.8513,0.2788
bert-base,topk_i8,nnz=341,1025.0,0.9432,0.2527
bert-base,wav_i8,nnz=341,1025.0,0.93751,0.4063
bert-base,pca,d=16,65.7,0.70535,0.0308
bert-base,rand_proj,d=16,65.6,0.13338,0.0217
bert-base,dct_f32,nnz=10,60.0,0.61103,0.0939
bert-base,fft_c64,nnz=10,100.0,0.62001,0.1019
bert-base,pq,m=64,89.8,0.84879,0.243
bert-base,pca,d=32,131.3,0.71951,0.0449
bert-base,rand_proj,d=32,131.2,0.20918,0.0451
bert-base,dct_f32,nnz=21,126.0,0.65517,0.1192
bert-base,fft_c64,nnz=21,210.0,0.67142,0.1344
bert-base,pq,m=128,153.8,0.93099,0.354
bert-base,pca,d=64,262.5,0.74507,0.0861
bert-base,rand_proj,d=64,262.4,0.30119,0.1038
bert-base,dct_f32,nnz=42,252.0,0.71469,0.1552
bert-base,fft_c64,nnz=42,420.0,0.74028,0.1694
bert-base,pq,m=256,281.8,0.98563,0.5671
bert-base,pca,d=128,525.0,0.78707,0.1812
bert-base,rand_proj,d=128,524.9,0.38796,0.1758
bert-base,dct_f32,nnz=85,510.0,0.79379,0.2062
bert-base,fft_c64,nnz=85,850.0,0.83079,0.2301
bert-base,pca,d=256,1049.9,0.85086,0.3401
bert-base,rand_proj,d=256,1049.8,0.58452,0.3148
bert-base,dct_f32,nnz=170,1020.0,0.88336,0.2876
bert-base,fft_c64,nnz=170,1700.0,0.92896,0.365
distilbert,topk_f32,nnz=10,60.0,0.3128,0.0522
distilbert,wav_f32,nnz=10,60.0,0.65183,0.0267
distilbert,topk_i8,nnz=21,65.0,0.4096,0.068
distilbert,wav_i8,nnz=21,65.0,0.69487,0.1154
distilbert,topk_f32,nnz=21,126.0,0.40961,0.0678
distilbert,wav_f32,nnz=21,126.0,0.69487,0.1151
distilbert,topk_i8,nnz=42,128.0,0.52075,0.0895
distilbert,wav_i8,nnz=42,128.0,0.7457,0.2112
distilbert,topk_f32,nnz=42,252.0,0.52075,0.0898
distilbert,wav_f32,nnz=42,252.0,0.74571,0.2114
distilbert,topk_i8,nnz=85,257.0,0.65392,0.1083
distilbert,wav_i8,nnz=85,257.0,0.80927,0.2792
distilbert,topk_f32,nnz=85,510.0,0.65392,0.1084
distilbert,wav_f32,nnz=85,510.0,0.80929,0.2792
distilbert,topk_i8,nnz=170,512.0,0.79867,0.1395
distilbert,wav_i8,nnz=170,512.0,0.87984,0.3777
distilbert,topk_f32,nnz=170,1020.0,0.79868,0.1395
distilbert,wav_f32,nnz=170,1020.0,0.87988,0.3776
distilbert,topk_i8,nnz=341,1025.0,0.93343,0.2024
distilbert,wav_i8,nnz=341,1025.0,0.94922,0.5312
distilbert,pca,d=16,65.7,0.77168,0.0473
distilbert,rand_proj,d=16,65.6,0.1338,0.0273
distilbert,dct_f32,nnz=10,60.0,0.6788,0.1261
distilbert,fft_c64,nnz=10,100.0,0.68568,0.1272
distilbert,pq,m=64,89.8,0.87701,0.3189
distilbert,pca,d=32,131.3,0.78395,0.0672
distilbert,rand_proj,d=32,131.2,0.20668,0.0636
distilbert,dct_f32,nnz=21,126.0,0.71337,0.1559
distilbert,fft_c64,nnz=21,210.0,0.72615,0.1731
distilbert,pq,m=128,153.8,0.94302,0.4824
